
 -  09:18:22.000 - 	INFO:	  Maze sizes set --X:50, Y:20-- 
 -  09:18:22.000 - 	DEBUG1:		Maze size is now:  --X:51, Y:21-- 
 -  09:18:22.000 - 	INFO:	  Maze Array generated
 -  09:18:22.000 - 	INFO:	  About to begin the Initialization Loop
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:0-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:0-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:1-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:1-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:2-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:2-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:3-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:3-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:4-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:4-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:5-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:5-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:6-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:6-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:7-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:7-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:8-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:8-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:9-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:9-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:10-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:10-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:11-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:11-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:12-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:12-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:13-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:13-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:14-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:14-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:15-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:15-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:16-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:16-- 
 -  09:18:22.000 - 	DEBUG4:		      Initialization Loop:  --X:0, Y:17-- 
 -  09:18:22.000 - 	DEBUG3:		    Cartographer:	 Cell being REGISTERED @  --X:0, Y:17-- 
